id,pos_x,pos_y,pos_z,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption
36,136.965,34.9954,1,204.000000,600.000000,0.263410,0.131410,0.132000
15,136.963745,34.997710,1.000000,87.000000,600.000000,0.268830,0.130830,0.138000
14,136.964840,34.996271,1.000000,74.000000,600.000000,0.262766,0.130766,0.132000
13,136.964839,34.996271,1.000000,73.000000,600.000000,0.268761,0.130761,0.138000
12,136.964838,34.996271,1.000000,50.000000,600.000000,0.262796,0.127796,0.135000
11,136.967523,34.994912,1.000000,59.000000,600.000000,0.262692,0.130692,0.132000
10,136.967522,34.994912,1.000000,40.000000,600.000000,0.262722,0.127722,0.135000
9,136.967521,34.994912,1.000000,57.000000,600.000000,0.268682,0.130682,0.138000
8,136.967605,34.997634,1.000000,44.000000,600.000000,0.262618,0.130618,0.132000
7,136.967604,34.997634,1.000000,43.000000,600.000000,0.268613,0.130613,0.138000
6,136.967603,34.997634,1.000000,30.000000,600.000000,0.262648,0.127648,0.135000
1,136.967542,34.993315,1.000000,10.000000,600.000000,0.265499,0.127499,0.138000
0,136.967541,34.993315,1.000000,12.000000,600.000000,0.268459,0.130459,0.138000
2,136.967543,34.993315,1.000000,14.000000,600.000000,0.262469,0.130469,0.132000
3,136.971769,34.994744,1.000000,20.000000,600.000000,0.262574,0.127574,0.135000
4,136.971770,34.994744,1.000000,28.000000,600.000000,0.268538,0.130538,0.138000
5,136.971771,34.994744,1.000000,29.000000,600.000000,0.262544,0.130544,0.132000
16,136.963746,34.997710,1.000000,60.000000,600.000000,0.262871,0.127871,0.135000
17,136.963747,34.997710,1.000000,89.000000,600.000000,0.262841,0.130841,0.132000
18,136.962913,34.999019,1.000000,70.000000,600.000000,0.163151,0.112151,0.051000
19,136.962915,34.999019,1.000000,103.000000,600.000000,0.166121,0.115121,0.051000
20,136.960571,34.999251,1.000000,116.000000,600.000000,0.268974,0.130974,0.138000
21,136.960572,34.999251,1.000000,117.000000,600.000000,0.262979,0.130979,0.132000
22,136.960573,34.999251,1.000000,80.000000,600.000000,0.263009,0.128009,0.135000
23,136.962564,34.998173,1.000000,90.000000,600.000000,0.163295,0.112295,0.051000
24,136.962566,34.998173,1.000000,132.000000,600.000000,0.166265,0.115265,0.051000
25,136.961787,34.997980,1.000000,100.000000,600.000000,0.163364,0.112364,0.051000
26,136.961789,34.997980,1.000000,146.000000,600.000000,0.166334,0.115334,0.051000
27,136.961864,34.997177,1.000000,159.000000,600.000000,0.269187,0.131187,0.138000
28,136.961865,34.997177,1.000000,110.000000,600.000000,0.263227,0.128227,0.135000
29,136.961866,34.997177,1.000000,161.000000,600.000000,0.263197,0.131197,0.132000
30,136.966953,34.994942,1.000000,120.000000,600.000000,0.163508,0.112508,0.051000
31,136.966955,34.994942,1.000000,175.000000,600.000000,0.166478,0.115478,0.051000
32,136.965640,34.994315,1.000000,188.000000,600.000000,0.166542,0.115542,0.051000
33,136.965642,34.994315,1.000000,130.000000,600.000000,0.163572,0.112572,0.051000
34,136.964953,34.995409,1.000000,140.000000,600.000000,0.263440,0.128440,0.135000
35,136.964954,34.995409,1.000000,203.000000,600.000000,0.271098,0.133098,0.138000
