id,pos_x,pos_y,pos_z,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption
36,34.9954,136.965,1,140.000000,600.000000,0.160038,0.079038,0.081000
15,34.997710,136.963745,1.000000,87.000000,600.000000,0.165434,0.081434,0.084000
14,34.996273,136.964838,1.000000,74.000000,600.000000,0.159370,0.081370,0.078000
13,34.996272,136.964838,1.000000,73.000000,600.000000,0.165364,0.081364,0.084000
12,34.996271,136.964838,1.000000,50.000000,600.000000,0.159400,0.078400,0.081000
11,34.994914,136.967521,1.000000,59.000000,600.000000,0.159295,0.081295,0.078000
10,34.994913,136.967521,1.000000,40.000000,600.000000,0.159325,0.078325,0.081000
9,34.994912,136.967521,1.000000,57.000000,600.000000,0.165285,0.081285,0.084000
8,34.997636,136.967603,1.000000,44.000000,600.000000,0.159221,0.081221,0.078000
7,34.997635,136.967603,1.000000,30.000000,600.000000,0.159251,0.078251,0.081000
6,34.997634,136.967603,1.000000,42.000000,600.000000,0.165211,0.081211,0.084000
1,34.993316,136.967541,1.000000,10.000000,600.000000,0.159103,0.078103,0.081000
0,34.993315,136.967541,1.000000,12.000000,600.000000,0.165063,0.081063,0.084000
2,34.993317,136.967541,1.000000,14.000000,600.000000,0.159073,0.081073,0.078000
3,34.994744,136.971769,1.000000,27.000000,600.000000,0.165137,0.081137,0.084000
4,34.994745,136.971769,1.000000,20.000000,600.000000,0.159177,0.078177,0.081000
5,34.994746,136.971769,1.000000,29.000000,600.000000,0.159147,0.081147,0.078000
16,34.997711,136.963745,1.000000,60.000000,600.000000,0.159474,0.078474,0.081000
17,34.997712,136.963745,1.000000,89.000000,600.000000,0.159444,0.081444,0.078000
18,34.999019,136.962913,1.000000,70.000000,600.000000,0.103649,0.070649,0.033000
19,34.999021,136.962913,1.000000,103.000000,600.000000,0.106619,0.073619,0.033000
20,34.999251,136.960571,1.000000,116.000000,600.000000,0.165577,0.081577,0.084000
21,34.999252,136.960571,1.000000,117.000000,600.000000,0.159582,0.081582,0.078000
22,34.999253,136.960571,1.000000,80.000000,600.000000,0.159612,0.078612,0.081000
23,34.998173,136.962564,1.000000,90.000000,600.000000,0.103792,0.070792,0.033000
24,34.998175,136.962564,1.000000,132.000000,600.000000,0.106762,0.073762,0.033000
25,34.997980,136.961787,1.000000,100.000000,600.000000,0.103862,0.070862,0.033000
26,34.997982,136.961787,1.000000,146.000000,600.000000,0.106832,0.073832,0.033000
27,34.997177,136.961864,1.000000,159.000000,600.000000,0.165790,0.081790,0.084000
28,34.997178,136.961864,1.000000,160.000000,600.000000,0.159795,0.081795,0.078000
29,34.997179,136.961864,1.000000,110.000000,600.000000,0.159825,0.078825,0.081000
30,34.994942,136.966953,1.000000,120.000000,600.000000,0.104005,0.071005,0.033000
31,34.994944,136.966953,1.000000,175.000000,600.000000,0.106975,0.073975,0.033000
32,34.994315,136.965640,1.000000,188.000000,600.000000,0.107040,0.074040,0.033000
33,34.994317,136.965640,1.000000,130.000000,600.000000,0.104070,0.071070,0.033000
34,34.995409,136.964953,1.000000,202.000000,600.000000,0.166003,0.082003,0.084000
35,34.995410,136.964953,1.000000,203.000000,600.000000,0.160008,0.082008,0.078000
