id,pos_x,pos_y,pos_z,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption
76,34.9943,136.968,1,412.000000,600.000000,0.161043,0.083043,0.078000
75,35.000258,136.968301,1.000000,411.000000,600.000000,0.167038,0.083038,0.084000
74,34.997258,136.968301,1.000000,280.000000,600.000000,0.161073,0.080073,0.081000
73,34.992660,136.966875,1.000000,397.000000,600.000000,0.160968,0.082968,0.078000
72,34.998660,136.966875,1.000000,396.000000,600.000000,0.166963,0.082963,0.084000
71,34.995660,136.966875,1.000000,270.000000,600.000000,0.160998,0.079998,0.081000
70,34.987529,136.968657,1.000000,260.000000,600.000000,0.105025,0.072025,0.033000
69,34.990529,136.968657,1.000000,381.000000,600.000000,0.107995,0.074995,0.033000
68,34.990319,136.970236,1.000000,250.000000,600.000000,0.160850,0.079850,0.081000
67,34.996319,136.970236,1.000000,367.000000,600.000000,0.160820,0.082820,0.078000
66,34.993319,136.970236,1.000000,366.000000,600.000000,0.166815,0.082815,0.084000
65,34.989996,136.966654,1.000000,240.000000,600.000000,0.160776,0.079776,0.081000
64,34.995996,136.966654,1.000000,352.000000,600.000000,0.160746,0.082746,0.078000
63,34.992996,136.966654,1.000000,351.000000,600.000000,0.166741,0.082741,0.084000
62,34.988231,136.966164,1.000000,338.000000,600.000000,0.160676,0.082676,0.078000
61,34.994231,136.966164,1.000000,230.000000,600.000000,0.160706,0.079706,0.081000
60,34.991231,136.966164,1.000000,336.000000,600.000000,0.166666,0.082666,0.084000
59,34.988676,136.967828,1.000000,323.000000,600.000000,0.160602,0.082602,0.078000
58,34.994676,136.967828,1.000000,220.000000,600.000000,0.160632,0.079632,0.081000
57,34.991676,136.967828,1.000000,321.000000,600.000000,0.166592,0.082592,0.084000
56,34.990194,136.965682,1.000000,210.000000,600.000000,0.160553,0.079553,0.081000
55,34.996194,136.965682,1.000000,307.000000,600.000000,0.160523,0.082523,0.078000
54,34.993194,136.965682,1.000000,306.000000,600.000000,0.166518,0.082518,0.084000
53,34.991315,136.965640,1.000000,293.000000,600.000000,0.107559,0.074559,0.033000
52,34.994315,136.965640,1.000000,200.000000,600.000000,0.104589,0.071589,0.033000
51,34.991942,136.966953,1.000000,190.000000,600.000000,0.104515,0.071515,0.033000
50,34.994942,136.966953,1.000000,278.000000,600.000000,0.107485,0.074485,0.033000
49,34.991912,136.967521,1.000000,265.000000,600.000000,0.160315,0.082315,0.078000
48,34.997912,136.967521,1.000000,180.000000,600.000000,0.160345,0.079345,0.081000
47,34.994912,136.967521,1.000000,263.000000,600.000000,0.166305,0.082305,0.084000
46,34.994634,136.967603,1.000000,170.000000,600.000000,0.160266,0.079266,0.081000
45,35.000634,136.967603,1.000000,249.000000,600.000000,0.160236,0.082236,0.078000
44,34.997634,136.967603,1.000000,248.000000,600.000000,0.169231,0.082231,0.087000
43,34.991744,136.971769,1.000000,235.000000,600.000000,0.160167,0.082167,0.078000
42,34.997744,136.971769,1.000000,234.000000,600.000000,0.167855,0.083855,0.084000
41,34.994744,136.971769,1.000000,160.000000,600.000000,0.160197,0.079197,0.081000
40,34.990315,136.967541,1.000000,150.000000,600.000000,0.160117,0.079117,0.081000
39,34.996315,136.967541,1.000000,219.000000,600.000000,0.160087,0.082087,0.078000
38,34.993315,136.967541,1.000000,218.000000,600.000000,0.166082,0.082082,0.084000
37,34.990933,136.967872,1.000000,205.000000,600.000000,0.107124,0.074124,0.033000
36,34.996933,136.967872,1.000000,140.000000,600.000000,0.104154,0.071154,0.033000
15,34.990194,136.965682,1.000000,87.000000,600.000000,0.159434,0.081434,0.078000
14,34.996194,136.965682,1.000000,86.000000,600.000000,0.165429,0.081429,0.084000
13,34.993194,136.965682,1.000000,60.000000,600.000000,0.159464,0.078464,0.081000
12,34.991315,136.965640,1.000000,50.000000,600.000000,0.103491,0.070491,0.033000
11,34.994315,136.965640,1.000000,71.000000,600.000000,0.106461,0.073461,0.033000
10,34.991942,136.966953,1.000000,58.000000,600.000000,0.106396,0.073396,0.033000
9,34.994942,136.966953,1.000000,40.000000,600.000000,0.103426,0.070426,0.033000
8,34.991912,136.967521,1.000000,44.000000,600.000000,0.159221,0.081221,0.078000
7,34.997912,136.967521,1.000000,30.000000,600.000000,0.159251,0.078251,0.081000
6,34.994912,136.967521,1.000000,42.000000,600.000000,0.165211,0.081211,0.084000
1,34.997744,136.971769,1.000000,10.000000,600.000000,0.159103,0.078103,0.081000
0,34.994744,136.971769,1.000000,12.000000,600.000000,0.165063,0.081063,0.084000
2,34.991744,136.971769,1.000000,14.000000,600.000000,0.159073,0.081073,0.078000
3,34.997634,136.967603,1.000000,27.000000,600.000000,0.162137,0.081137,0.081000
4,35.000634,136.967603,1.000000,28.000000,600.000000,0.156142,0.081142,0.075000
5,34.994634,136.967603,1.000000,20.000000,600.000000,0.159172,0.078172,0.081000
16,34.991676,136.967828,1.000000,70.000000,600.000000,0.159538,0.078538,0.081000
17,34.994676,136.967828,1.000000,101.000000,600.000000,0.167196,0.083196,0.084000
18,34.988676,136.967828,1.000000,102.000000,600.000000,0.159508,0.081508,0.078000
19,34.991231,136.966164,1.000000,80.000000,600.000000,0.162612,0.078612,0.084000
20,34.994231,136.966164,1.000000,116.000000,600.000000,0.165577,0.081577,0.084000
21,34.988231,136.966164,1.000000,117.000000,600.000000,0.159582,0.081582,0.078000
22,34.992996,136.966654,1.000000,130.000000,600.000000,0.165647,0.081647,0.084000
23,34.995996,136.966654,1.000000,131.000000,600.000000,0.159652,0.081652,0.078000
24,34.989996,136.966654,1.000000,90.000000,600.000000,0.159682,0.078682,0.081000
25,34.993319,136.970236,1.000000,100.000000,600.000000,0.159761,0.078761,0.081000
26,34.996319,136.970236,1.000000,146.000000,600.000000,0.167419,0.083419,0.084000
27,34.990319,136.970236,1.000000,147.000000,600.000000,0.159731,0.081731,0.078000
28,34.990529,136.968657,1.000000,160.000000,600.000000,0.106901,0.073901,0.033000
29,34.987529,136.968657,1.000000,110.000000,600.000000,0.103931,0.070931,0.033000
30,34.995660,136.966875,1.000000,174.000000,600.000000,0.165864,0.081864,0.084000
31,34.998660,136.966875,1.000000,120.000000,600.000000,0.162904,0.078904,0.084000
32,34.992660,136.966875,1.000000,176.000000,600.000000,0.159874,0.081874,0.078000
33,34.997258,136.968301,1.000000,189.000000,600.000000,0.167632,0.083632,0.084000
34,35.000258,136.968301,1.000000,190.000000,600.000000,0.159944,0.081944,0.078000
35,34.994258,136.968301,1.000000,130.000000,600.000000,0.159974,0.078974,0.081000
