id,pos_x,pos_y,pos_z,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption
32,34.9943,136.968,1,60.000000,600.000000,0.036000,0.000000,0.036000
31,35.000258,136.968301,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
30,34.997258,136.968301,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
29,34.992660,136.966875,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
28,34.998660,136.966875,1.000000,60.000000,600.000000,0.039000,0.000000,0.039000
27,34.995660,136.966875,1.000000,60.000000,600.000000,0.066000,0.000000,0.066000
26,34.990529,136.968657,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
25,34.990319,136.970236,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
24,34.996319,136.970236,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
23,34.993319,136.970236,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
22,34.989996,136.966654,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
21,34.995996,136.966654,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
20,34.992996,136.966654,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
19,34.988231,136.966164,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
18,34.994231,136.966164,1.000000,60.000000,600.000000,0.039000,0.000000,0.039000
17,34.991231,136.966164,1.000000,60.000000,600.000000,0.063000,0.000000,0.063000
16,34.988676,136.967828,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
5,34.994634,136.967603,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
4,35.000634,136.967603,1.000000,60.000000,600.000000,0.039000,0.000000,0.039000
3,34.997634,136.967603,1.000000,60.000000,600.000000,0.087000,0.000000,0.087000
2,34.991744,136.971769,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
0,34.994744,136.971769,1.000000,60.000000,600.000000,0.054000,0.000000,0.054000
1,34.997744,136.971769,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
6,34.994912,136.967521,1.000000,60.000000,600.000000,0.096000,0.000000,0.096000
7,34.997912,136.967521,1.000000,60.000000,600.000000,0.039000,0.000000,0.039000
8,34.991912,136.967521,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
9,34.994942,136.966953,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
10,34.994315,136.965640,1.000000,60.000000,600.000000,0.099808,0.099808,0.000000
11,34.993194,136.965682,1.000000,60.000000,600.000000,0.063000,0.000000,0.063000
12,34.996194,136.965682,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
13,34.990194,136.965682,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
14,34.991676,136.967828,1.000000,60.000000,600.000000,0.123000,0.000000,0.123000
15,34.994676,136.967828,1.000000,60.000000,600.000000,0.036000,0.000000,0.036000
