id,pos_x,pos_y,pos_z,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption
24,34.989996,136.966654,1.000000,90.000000,600.000000,0.099956,0.099956,0.000000
25,34.993319,136.970236,1.000000,100.000000,600.000000,0.100006,0.100006,0.000000
26,34.996319,136.970236,1.000000,100.000000,600.000000,0.100006,0.100006,0.000000
27,34.990319,136.970236,1.000000,100.000000,600.000000,0.100006,0.100006,0.000000
28,34.990529,136.968657,1.000000,110.000000,600.000000,0.100055,0.100055,0.000000
29,34.987529,136.968657,1.000000,110.000000,600.000000,0.100055,0.100055,0.000000
30,34.995660,136.966875,1.000000,120.000000,600.000000,0.100105,0.100105,0.000000
31,34.998660,136.966875,1.000000,120.000000,600.000000,0.100105,0.100105,0.000000
32,34.992660,136.966875,1.000000,120.000000,600.000000,0.101798,0.101798,0.000000
33,34.997258,136.968301,1.000000,130.000000,600.000000,0.100154,0.100154,0.000000
34,35.000258,136.968301,1.000000,130.000000,600.000000,0.101848,0.101848,0.000000
35,34.994258,136.968301,1.000000,130.000000,600.000000,0.100154,0.100154,0.000000
