id,pos_x,pos_y,pos_z,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption
36,34.9924,136.965,1,204.000000,600.000000,0.160013,0.082013,0.078000
15,34.997710,136.963745,1.000000,60.000000,600.000000,0.159474,0.078474,0.081000
14,34.993271,136.964838,1.000000,74.000000,600.000000,0.159370,0.081370,0.078000
13,34.999271,136.964838,1.000000,73.000000,600.000000,0.165364,0.081364,0.084000
12,34.996271,136.964838,1.000000,50.000000,600.000000,0.159400,0.078400,0.081000
11,34.991912,136.967521,1.000000,59.000000,600.000000,0.159295,0.081295,0.078000
10,34.997912,136.967521,1.000000,58.000000,600.000000,0.165290,0.081290,0.084000
9,34.994912,136.967521,1.000000,40.000000,600.000000,0.159325,0.078325,0.081000
8,34.994634,136.967603,1.000000,44.000000,600.000000,0.159221,0.081221,0.078000
7,35.000634,136.967603,1.000000,43.000000,600.000000,0.165216,0.081216,0.084000
6,34.997634,136.967603,1.000000,30.000000,600.000000,0.159251,0.078251,0.081000
1,34.996315,136.967541,1.000000,13.000000,600.000000,0.160761,0.082761,0.078000
0,34.993315,136.967541,1.000000,10.000000,600.000000,0.156102,0.078102,0.078000
2,34.990315,136.967541,1.000000,14.000000,600.000000,0.151287,0.082287,0.069000
3,34.994744,136.971769,1.000000,20.000000,600.000000,0.159177,0.078177,0.081000
4,34.997744,136.971769,1.000000,28.000000,600.000000,0.165142,0.081142,0.084000
5,34.991744,136.971769,1.000000,29.000000,600.000000,0.159147,0.081147,0.078000
16,35.000710,136.963745,1.000000,88.000000,600.000000,0.165439,0.081439,0.084000
17,34.994710,136.963745,1.000000,89.000000,600.000000,0.159444,0.081444,0.078000
18,34.999019,136.962913,1.000000,102.000000,600.000000,0.106614,0.073614,0.033000
19,34.996019,136.962913,1.000000,70.000000,600.000000,0.103644,0.070644,0.033000
20,34.999251,136.960571,1.000000,80.000000,600.000000,0.159617,0.078617,0.081000
21,35.002251,136.960571,1.000000,117.000000,600.000000,0.167276,0.083276,0.084000
22,34.996251,136.960571,1.000000,118.000000,600.000000,0.159587,0.081587,0.078000
23,34.998173,136.962564,1.000000,131.000000,600.000000,0.106758,0.073758,0.033000
24,34.995173,136.962564,1.000000,90.000000,600.000000,0.103788,0.070788,0.033000
25,34.997980,136.961787,1.000000,145.000000,600.000000,0.106827,0.073827,0.033000
26,34.994980,136.961787,1.000000,100.000000,600.000000,0.103857,0.070857,0.033000
27,34.997177,136.961864,1.000000,159.000000,600.000000,0.165790,0.081790,0.084000
28,35.000177,136.961864,1.000000,160.000000,600.000000,0.159795,0.081795,0.078000
29,34.994177,136.961864,1.000000,110.000000,600.000000,0.159825,0.078825,0.081000
30,34.994942,136.966953,1.000000,120.000000,600.000000,0.104005,0.071005,0.033000
31,34.991942,136.966953,1.000000,175.000000,600.000000,0.106975,0.073975,0.033000
32,34.994315,136.965640,1.000000,188.000000,600.000000,0.107040,0.074040,0.033000
33,34.991315,136.965640,1.000000,130.000000,600.000000,0.104070,0.071070,0.033000
34,34.995409,136.964953,1.000000,140.000000,600.000000,0.160043,0.079043,0.081000
35,34.998409,136.964953,1.000000,203.000000,600.000000,0.167701,0.083701,0.084000
